frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,hp,daggers
164,1776206710.463,490,703,10,14,4,-4.65,walking,0,5,2
165,1776206710.48,494,699,10,14,4,-4.1,walking,0,5,2
166,1776206710.497,498,696,10,14,4,-3.55,walking,0,5,2
167,1776206710.512,502,694,10,14,4,-3.0,walking,0,5,2
168,1776206710.529,506,692,10,14,4,-2.45,walking,0,5,2
169,1776206710.545,510,691,10,14,4,-1.9,walking,0,5,2
170,1776206710.561,514,690,10,14,4,-1.35,walking,0,5,2
171,1776206710.577,518,690,10,14,4,-0.8,walking,0,5,2
172,1776206710.594,522,690,10,14,4,-0.25,walking,0,5,2
173,1776206710.61,526,690,10,14,4,0.3,walking,0,5,2
174,1776206710.626,530,690,11,14,4,0.85,walking,0,5,2
175,1776206710.644,534,691,11,14,4,1.4,walking,0,5,2
176,1776206710.66,538,692,11,14,4,1.95,walking,0,5,2
177,1776206710.677,542,694,11,14,4,2.5,walking,0,5,2
178,1776206710.693,546,697,11,14,4,3.05,walking,0,5,2
179,1776206710.709,550,700,11,14,4,3.6,walking,0,5,2
180,1776206710.726,554,704,11,14,4,4.15,walking,0,5,2
181,1776206710.741,558,704,11,14,4,0,walking,1,5,2
182,1776206710.758,562,704,11,14,4,0.55,walking,0,5,2
183,1776206710.773,566,704,11,14,4,0,walking,1,5,2
184,1776206710.79,570,704,11,14,4,0.55,walking,0,5,2
185,1776206710.806,574,704,11,14,4,0,walking,1,5,2
186,1776206710.822,578,704,12,14,4,0.55,walking,0,5,2
187,1776206710.838,582,704,12,14,4,0,walking,1,5,2
188,1776206710.854,586,704,12,14,4,0.55,walking,0,5,2
189,1776206710.87,590,704,12,14,4,0,walking,1,5,2
190,1776206710.885,594,704,12,14,4,0.55,walking,0,5,2
191,1776206710.902,598,704,12,14,4,0,walking,1,5,2
192,1776206710.918,602,704,12,14,4,0.55,walking,0,5,2
193,1776206710.934,606,704,12,14,4,0,walking,1,5,2
194,1776206710.951,610,704,12,14,4,0.55,walking,0,5,2
195,1776206710.967,614,704,12,14,4,0,walking,1,5,2
196,1776206710.983,618,704,12,14,4,0.55,walking,0,5,2
197,1776206710.999,622,704,12,14,4,0,walking,1,5,2
198,1776206711.015,626,704,13,14,4,0.55,walking,0,5,2
199,1776206711.031,630,704,13,14,4,0,walking,1,5,2
200,1776206711.047,634,704,13,14,4,0.55,walking,0,5,2
201,1776206711.064,638,704,13,14,4,0,walking,1,5,2
202,1776206711.081,642,704,13,14,4,0.55,walking,0,5,2
203,1776206711.096,646,704,13,14,4,0,walking,1,5,2
204,1776206711.113,650,704,13,14,4,0.55,walking,0,5,2
205,1776206711.128,654,704,13,14,4,0,walking,1,5,2
206,1776206711.144,658,704,13,14,4,0.55,walking,0,5,2
207,1776206711.161,662,704,13,14,4,0,walking,1,5,2
208,1776206711.178,658,704,13,14,-4,0.55,walking,0,5,2
209,1776206711.194,654,704,13,14,-4,0,walking,1,5,2
210,1776206711.21,650,704,13,14,-4,0.55,walking,0,5,2
211,1776206711.226,646,704,13,14,-4,0,walking,1,5,2
212,1776206711.243,642,704,13,14,-4,0.55,walking,0,5,2
213,1776206711.259,638,704,13,14,-4,0,walking,1,5,2
214,1776206711.274,634,704,13,14,-4,0.55,walking,0,5,2
215,1776206711.29,630,704,13,14,-4,0,walking,1,5,2
216,1776206711.306,626,704,13,14,-4,0.55,walking,0,5,2
217,1776206711.323,622,704,12,14,-4,0,walking,1,5,2
218,1776206711.339,618,704,12,14,-4,0.55,walking,0,5,2
219,1776206711.355,614,704,12,14,-4,0,walking,1,5,2
220,1776206711.371,610,704,12,14,-4,0.55,walking,0,5,2
221,1776206711.387,606,704,12,14,-4,0,walking,1,5,2
222,1776206711.403,602,704,12,14,-4,0.55,walking,0,5,2
223,1776206711.42,598,704,12,14,-4,0,walking,1,5,2
224,1776206711.436,594,704,12,14,-4,0.55,walking,0,5,2
225,1776206711.452,590,704,12,14,-4,0,walking,1,5,2
226,1776206711.468,586,704,12,14,-4,0.55,walking,0,5,2
227,1776206711.484,582,704,12,14,-4,0,walking,1,5,2
228,1776206711.501,578,704,12,14,-4,0.55,walking,0,5,2
229,1776206711.517,574,704,11,14,-4,0,walking,1,5,2
230,1776206711.533,570,704,11,14,-4,0.55,walking,0,5,2
231,1776206711.549,566,704,11,14,-4,0,walking,1,5,2
232,1776206711.565,562,704,11,14,-4,0.55,walking,0,5,2
233,1776206711.581,558,704,11,14,-4,0,walking,1,5,2
234,1776206711.597,554,704,11,14,-4,0.55,walking,0,5,2
235,1776206711.613,550,704,11,14,-4,0,walking,1,5,2
236,1776206711.629,546,704,11,14,-4,0.55,walking,0,5,2
237,1776206711.644,542,704,11,14,-4,0,walking,1,5,2
238,1776206711.661,538,691,11,14,-4,-11.9,walking,0,5,2
239,1776206711.677,534,680,11,14,-4,-11.35,walking,0,5,2
240,1776206711.693,530,670,11,13,-4,-10.8,walking,0,5,2
241,1776206711.708,526,660,10,13,-4,-10.25,walking,0,5,2
242,1776206711.725,522,651,10,13,-4,-9.7,walking,0,5,2
243,1776206711.741,518,642,10,13,-4,-9.15,walking,0,5,2
244,1776206711.757,514,634,10,13,-4,-8.6,walking,0,5,2
245,1776206711.773,510,626,10,13,-4,-8.05,walking,0,5,2
246,1776206711.789,506,619,10,12,-4,-7.5,walking,0,5,2
247,1776206711.805,502,613,10,12,-4,-6.95,walking,0,5,2
248,1776206711.822,498,607,10,12,-4,-6.4,walking,0,5,2
249,1776206711.838,494,602,10,12,-4,-5.85,walking,0,5,2
250,1776206711.854,490,597,10,12,-4,-5.3,walking,0,5,2
251,1776206711.87,486,593,10,12,-4,-4.75,walking,0,5,2
252,1776206711.887,482,589,10,12,-4,-4.2,walking,0,5,2
253,1776206711.903,480,586,10,12,-4,-3.65,walking,0,5,2
254,1776206711.919,480,583,10,12,-4,-3.1,walking,0,5,2
255,1776206711.935,480,581,10,12,-4,-2.55,walking,0,5,2
256,1776206711.952,480,580,10,12,-4,-2.0,walking,0,5,2
257,1776206711.968,480,579,10,12,-4,-1.45,walking,0,5,2
262,1776206712.049,480,580,10,12,-4,1.3,walking,0,5,2
263,1776206712.065,480,581,10,12,-4,1.85,walking,0,5,2
264,1776206712.081,480,583,10,12,-4,2.4,walking,0,5,2
265,1776206712.097,480,585,10,12,-4,2.95,walking,0,5,2
266,1776206712.114,480,588,10,12,-4,3.5,walking,0,5,2
267,1776206712.129,480,592,10,12,-4,4.05,walking,0,5,2
268,1776206712.145,480,596,10,12,-4,4.6,walking,0,5,2
269,1776206712.162,480,601,10,12,-4,5.15,walking,0,5,2
270,1776206712.178,480,606,10,12,-4,5.7,walking,0,5,2
271,1776206712.195,480,612,10,12,-4,6.25,walking,0,5,2
272,1776206712.211,480,618,10,12,-4,6.8,walking,0,5,2
273,1776206712.227,480,625,10,13,-4,7.35,walking,0,5,2
274,1776206712.243,480,632,10,13,-4,7.9,walking,0,5,2
275,1776206712.26,480,640,10,13,-4,8.45,walking,0,5,2
276,1776206712.276,480,649,10,13,-4,9.0,walking,0,5,2
277,1776206712.292,480,658,10,13,-4,9.55,walking,0,5,2
278,1776206712.309,480,668,10,13,-4,10.1,walking,0,5,2
279,1776206712.324,480,678,10,14,-4,10.65,walking,0,5,2
280,1776206712.341,476,689,9,14,-4,11.2,walking,0,5,2
281,1776206712.356,472,700,9,14,-4,11.75,walking,0,5,2
282,1776206712.373,468,712,9,14,-4,12.3,walking,0,5,2
283,1776206712.389,464,724,9,15,-4,12.85,walking,0,5,2
284,1776206712.405,460,737,9,15,-4,13.4,walking,0,5,2
285,1776206712.421,456,750,9,15,-4,13.95,walking,0,5,2
286,1776206712.437,452,764,9,15,-4,14.5,walking,0,5,2
287,1776206712.453,448,779,9,16,-4,15.05,walking,0,5,2
288,1776206712.469,444,794,9,16,-4,15.6,walking,0,5,2
289,1776206712.486,440,810,9,16,-4,16.15,walking,0,5,2
290,1776206712.501,436,826,9,17,-4,16.7,walking,0,5,2
291,1776206712.518,432,843,9,17,-4,17.25,walking,0,5,2
292,1776206712.533,428,848,8,17,-4,0,walking,1,5,2
300,1776206712.662,424,848,8,17,-4,0,walking,1,5,2
301,1776206712.679,420,848,8,17,-4,0.55,walking,0,5,2
302,1776206712.695,416,848,8,17,-4,0,walking,1,5,2
303,1776206712.71,412,848,8,17,-4,0.55,walking,0,5,2
304,1776206712.726,408,848,8,17,-4,0,walking,1,5,2
305,1776206712.742,404,848,8,17,-4,0.55,walking,0,5,2
306,1776206712.759,400,848,8,17,-4,0,walking,1,5,2
307,1776206712.774,396,848,8,17,-4,0.55,walking,0,5,2
308,1776206712.79,392,848,8,17,-4,0,walking,1,5,2
309,1776206712.806,388,848,8,17,-4,0.55,walking,0,5,2
310,1776206712.823,384,848,8,17,-4,0,walking,1,5,2
311,1776206712.84,380,848,7,17,-4,0.55,walking,0,5,2
312,1776206712.857,384,848,8,17,4,0,walking,1,5,2
313,1776206712.873,388,848,8,17,4,0.55,walking,0,5,2
314,1776206712.888,392,848,8,17,4,0,walking,1,5,2
315,1776206712.905,396,848,8,17,4,0.55,walking,0,5,2
316,1776206712.921,400,848,8,17,4,0,walking,1,5,2
317,1776206712.937,404,848,8,17,4,0.55,walking,0,5,2
318,1776206712.953,408,848,8,17,4,0,walking,1,5,2
319,1776206712.968,412,848,8,17,4,0.55,walking,0,5,2
320,1776206712.984,416,848,8,17,4,0,walking,1,5,2
321,1776206713.0,420,848,8,17,4,0.55,walking,0,5,2
322,1776206713.016,424,848,8,17,4,0,walking,1,5,2
323,1776206713.032,428,848,8,17,4,0.55,walking,0,5,2
324,1776206713.049,432,848,9,17,4,0,walking,1,5,2
325,1776206713.065,436,848,9,17,4,0.55,walking,0,5,2
326,1776206713.081,440,848,9,17,4,0,walking,1,5,2
327,1776206713.098,444,848,9,17,4,0.55,walking,0,5,2
328,1776206713.115,448,848,9,17,4,0,walking,1,5,2
329,1776206713.131,452,848,9,17,4,0.55,walking,0,5,2
330,1776206713.147,456,848,9,17,4,0,walking,1,5,2
331,1776206713.163,460,848,9,17,4,0.55,walking,0,5,2
332,1776206713.178,464,848,9,17,4,0,walking,1,5,2
333,1776206713.194,468,848,9,17,4,0.55,walking,0,5,2
334,1776206713.211,472,848,9,17,4,0,walking,1,5,2
335,1776206713.227,476,835,9,17,4,-13.45,walking,0,5,2
336,1776206713.243,480,823,10,17,4,-12.9,walking,0,5,2
337,1776206713.259,484,811,10,16,4,-12.35,walking,0,5,2
338,1776206713.275,488,800,10,16,4,-11.8,walking,0,5,2
339,1776206713.291,490,789,10,16,4,-11.25,walking,0,5,2
340,1776206713.308,490,779,10,16,4,-10.7,walking,0,5,2
341,1776206713.325,490,769,10,16,4,-10.15,walking,0,5,2
342,1776206713.341,490,760,10,15,4,-9.6,walking,0,5,2
343,1776206713.357,490,751,10,15,4,-9.05,walking,0,5,2
344,1776206713.373,490,743,10,15,4,-8.5,walking,0,5,2
345,1776206713.389,490,736,10,15,4,-7.95,walking,0,5,2
346,1776206713.405,490,729,10,15,4,-7.4,walking,0,5,2
347,1776206713.421,490,723,10,15,4,-6.85,walking,0,5,2
348,1776206713.437,490,717,10,14,4,-6.3,walking,0,5,2
349,1776206713.453,490,712,10,14,4,-5.75,walking,0,5,2
350,1776206713.469,490,707,10,14,4,-5.2,walking,0,5,2
351,1776206713.485,490,703,10,14,4,-4.65,walking,0,5,2
352,1776206713.501,494,699,10,14,4,-4.1,walking,0,5,2
353,1776206713.517,498,696,10,14,4,-3.55,walking,0,5,2
354,1776206713.534,502,694,10,14,4,-3.0,walking,0,5,2
355,1776206713.55,506,692,10,14,4,-2.45,walking,0,5,2
356,1776206713.567,510,691,10,14,4,-1.9,walking,0,5,2
357,1776206713.583,514,690,10,14,4,-1.35,walking,0,5,2
358,1776206713.599,518,690,10,14,4,-0.8,walking,0,5,2
359,1776206713.615,522,690,10,14,4,-0.25,walking,0,5,2
360,1776206713.631,526,690,10,14,4,0.3,walking,0,5,2
361,1776206713.647,530,690,11,14,4,0.85,walking,0,5,2
362,1776206713.663,534,691,11,14,4,1.4,walking,0,5,2
363,1776206713.679,538,692,11,14,4,1.95,walking,0,5,2
364,1776206713.695,542,694,11,14,4,2.5,walking,0,5,2
365,1776206713.711,546,697,11,14,4,3.05,walking,0,5,2
366,1776206713.727,550,700,11,14,4,3.6,walking,0,5,2
367,1776206713.743,554,704,11,14,4,4.15,walking,0,5,2
368,1776206713.76,558,704,11,14,4,0,walking,1,5,2
369,1776206713.776,562,704,11,14,4,0.55,walking,0,5,2
370,1776206713.792,566,704,11,14,4,0,walking,1,5,2
371,1776206713.807,570,704,11,14,4,0.55,walking,0,5,2
372,1776206713.824,574,704,11,14,4,0,walking,1,5,2
373,1776206713.84,578,704,12,14,4,0.55,walking,0,5,2
374,1776206713.855,582,704,12,14,4,0,walking,1,5,2
375,1776206713.872,586,704,12,14,4,0.55,walking,0,5,2
376,1776206713.887,590,704,12,14,4,0,walking,1,5,2
377,1776206713.904,594,704,12,14,4,0.55,walking,0,5,2
378,1776206713.92,598,704,12,14,4,0,walking,1,5,2
379,1776206713.937,602,704,12,14,4,0.55,walking,0,5,2
380,1776206713.953,606,704,12,14,4,0,walking,1,5,2
381,1776206713.968,610,704,12,14,4,0.55,walking,0,5,2
382,1776206713.985,614,704,12,14,4,0,walking,1,5,2
383,1776206714.0,618,704,12,14,4,0.55,walking,0,5,2
384,1776206714.017,622,704,12,14,4,0,walking,1,5,2
385,1776206714.033,626,704,13,14,4,0.55,walking,0,5,2
386,1776206714.05,630,704,13,14,4,0,walking,1,5,2
387,1776206714.066,634,704,13,14,4,0.55,walking,0,5,2
388,1776206714.081,638,704,13,14,4,0,walking,1,5,2
389,1776206714.098,642,704,13,14,4,0.55,walking,0,5,2
390,1776206714.114,646,704,13,14,4,0,walking,1,5,2
391,1776206714.131,650,704,13,14,4,0.55,walking,0,5,2
392,1776206714.147,654,704,13,14,4,0,walking,1,5,2
393,1776206714.162,658,704,13,14,4,0.55,walking,0,5,2
394,1776206714.179,662,704,13,14,4,0,walking,1,5,2
395,1776206714.195,666,704,13,14,4,0.55,walking,0,5,2
396,1776206714.212,670,704,13,14,4,0,walking,1,5,2
397,1776206714.228,674,704,14,14,4,0.55,walking,0,5,2
398,1776206714.244,678,704,14,14,4,0,walking,1,5,2
399,1776206714.261,682,704,14,14,4,0.55,walking,0,5,2
400,1776206714.277,686,704,14,14,4,0,walking,1,5,2
401,1776206714.293,690,704,14,14,4,0.55,walking,0,5,2
402,1776206714.309,694,704,14,14,4,0,walking,1,5,2
403,1776206714.325,698,704,14,14,4,0.55,walking,0,5,2
404,1776206714.341,702,704,14,14,4,0,walking,1,5,2
405,1776206714.357,706,704,14,14,4,0.55,walking,0,5,2
406,1776206714.373,710,704,14,14,4,0,walking,1,5,2
407,1776206714.389,714,704,14,14,4,0.55,walking,0,5,2
408,1776206714.405,718,704,14,14,4,0,walking,1,5,2
409,1776206714.421,722,704,15,14,4,0.55,walking,0,5,2
410,1776206714.438,726,704,15,14,4,0,walking,1,5,2
411,1776206714.454,730,704,15,14,4,0.55,walking,0,5,2
412,1776206714.47,734,704,15,14,4,0,walking,1,5,2
413,1776206714.485,738,704,15,14,4,0.55,walking,0,5,2
414,1776206714.502,742,704,15,14,4,0,walking,1,5,2
415,1776206714.518,746,704,15,14,4,0.55,walking,0,5,2
416,1776206714.534,742,704,15,14,-4,0,walking,1,5,2
417,1776206714.549,738,704,15,14,-4,0.55,walking,0,5,2
418,1776206714.566,734,704,15,14,-4,0,walking,1,5,2
419,1776206714.582,730,704,15,14,-4,0.55,walking,0,5,2
420,1776206714.597,726,704,15,14,-4,0,walking,1,5,2
421,1776206714.614,722,704,15,14,-4,0.55,walking,0,5,2
422,1776206714.63,718,704,14,14,-4,0,walking,1,5,2
423,1776206714.646,714,704,14,14,-4,0.55,walking,0,5,2
424,1776206714.661,710,704,14,14,-4,0,walking,1,5,2
425,1776206714.677,706,704,14,14,-4,0.55,walking,0,5,2
426,1776206714.694,702,704,14,14,-4,0,walking,1,5,2
427,1776206714.71,698,704,14,14,-4,0.55,walking,0,5,2
428,1776206714.726,694,704,14,14,-4,0,walking,1,5,2
429,1776206714.743,690,704,14,14,-4,0.55,walking,0,5,2
430,1776206714.759,686,704,14,14,-4,0,walking,1,5,2
431,1776206714.775,682,704,14,14,-4,0.55,walking,0,5,2
432,1776206714.791,678,704,14,14,-4,0,walking,1,5,2
433,1776206714.807,674,704,14,14,-4,0.55,walking,0,5,2
434,1776206714.823,670,704,13,14,-4,0,walking,1,5,2
435,1776206714.839,666,704,13,14,-4,0.55,walking,0,5,2
436,1776206714.854,662,704,13,14,-4,0,walking,1,5,2
437,1776206714.871,658,704,13,14,-4,0.55,walking,0,5,2
438,1776206714.887,654,704,13,14,-4,0,walking,1,5,2
439,1776206714.902,650,704,13,14,-4,0.55,walking,0,5,2
440,1776206714.918,646,704,13,14,-4,0,walking,1,5,2
441,1776206714.935,642,704,13,14,-4,0.55,walking,0,5,2
442,1776206714.951,638,704,13,14,-4,0,walking,1,5,2
443,1776206714.967,634,704,13,14,-4,0.55,walking,0,5,2
444,1776206714.983,630,704,13,14,-4,0,walking,1,5,2
445,1776206715.0,626,704,13,14,-4,0.55,walking,0,5,2
446,1776206715.015,622,704,12,14,-4,0,walking,1,5,2
447,1776206715.032,618,704,12,14,-4,0.55,walking,0,5,2
448,1776206715.048,614,704,12,14,-4,0,walking,1,5,2
449,1776206715.064,610,704,12,14,-4,0.55,walking,0,5,2
450,1776206715.08,606,704,12,14,-4,0,walking,1,5,2
451,1776206715.096,602,704,12,14,-4,0.55,walking,0,5,2
452,1776206715.112,598,704,12,14,-4,0,walking,1,5,2
453,1776206715.128,594,704,12,14,-4,0.55,walking,0,5,2
454,1776206715.144,590,704,12,14,-4,0,walking,1,5,2
