frame,time,x,y,tile_x,tile_y,vx,vy,state,on_ground,ai_strategy,sees_player,ammo,stun,swap_used
1225,1775851974.575,2138,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1226,1775851974.591,2140,368,44,7,2,0.55,IDLE,0,FAR,0,3,0,0
1227,1775851974.607,2142,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1228,1775851974.623,2144,368,44,7,2,0.55,IDLE,0,FAR,0,3,0,0
1229,1775851974.639,2146,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1230,1775851974.655,2148,368,44,7,2,0.55,IDLE,0,FAR,0,3,0,0
1231,1775851974.671,2150,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1232,1775851974.687,2152,368,44,7,2,0.55,IDLE,0,FAR,0,3,0,0
1233,1775851974.703,2154,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1234,1775851974.72,2156,368,44,7,2,0.55,IDLE,0,FAR,0,3,0,0
1235,1775851974.735,2158,368,44,7,2,0,IDLE,1,FAR,0,3,0,0
1236,1775851974.752,2160,368,45,7,2,0.55,IDLE,0,FAR,0,3,0,0
1237,1775851974.767,2160,369,45,7,0,1.1,IDLE,0,FAR,0,3,0,0
1238,1775851974.784,2160,370,45,7,0,1.65,IDLE,0,FAR,0,3,0,0
1239,1775851974.799,2160,372,45,7,0,2.2,IDLE,0,FAR,0,3,0,0
1240,1775851974.816,2160,374,45,7,0,2.75,IDLE,0,FAR,0,3,0,0
1241,1775851974.831,2160,377,45,7,0,3.3,IDLE,0,FAR,0,3,0,0
1242,1775851974.848,2160,380,45,7,0,3.85,IDLE,0,FAR,0,3,0,0
1243,1775851974.863,2160,384,45,8,0,4.4,IDLE,0,FAR,0,3,0,0
1244,1775851974.88,2160,388,45,8,0,4.95,IDLE,0,FAR,0,3,0,0
1245,1775851974.896,2160,393,45,8,0,5.5,IDLE,0,FAR,0,3,0,0
1246,1775851974.911,2160,399,45,8,0,6.05,IDLE,0,FAR,0,3,0,0
1247,1775851974.928,2160,405,45,8,0,6.6,IDLE,0,FAR,0,3,0,0
1248,1775851974.945,2160,412,45,8,0,7.15,IDLE,0,FAR,0,3,0,0
1249,1775851974.96,2160,419,45,8,0,7.7,IDLE,0,FAR,0,3,0,0
1250,1775851974.977,2160,427,45,8,0,8.25,IDLE,0,FAR,0,3,0,0
1251,1775851974.993,2160,435,45,9,0,8.8,IDLE,0,FAR,0,3,0,0
1252,1775851975.008,2160,444,45,9,0,9.35,IDLE,0,FAR,0,3,0,0
1253,1775851975.025,2160,453,45,9,0,9.9,IDLE,0,FAR,0,3,0,0
1254,1775851975.041,2160,463,45,9,0,10.45,IDLE,0,FAR,0,3,0,0
1255,1775851975.056,2160,474,45,9,0,11.0,IDLE,0,FAR,0,3,0,0
1256,1775851975.073,2160,485,45,10,0,11.55,IDLE,0,FAR,0,3,0,0
1257,1775851975.09,2160,497,45,10,0,12.1,IDLE,0,FAR,0,3,0,0
1258,1775851975.106,2160,509,45,10,0,12.65,IDLE,0,FAR,0,3,0,0
1259,1775851975.122,2160,522,45,10,0,13.2,IDLE,0,FAR,0,3,0,0
1260,1775851975.138,2160,535,45,11,0,13.75,IDLE,0,FAR,0,3,0,0
1261,1775851975.155,2160,549,45,11,0,14.3,IDLE,0,FAR,0,3,0,0
1262,1775851975.171,2160,563,45,11,0,14.85,IDLE,0,FAR,0,3,0,0
1263,1775851975.187,2160,578,45,12,0,15.4,IDLE,0,FAR,0,3,0,0
1264,1775851975.203,2160,593,45,12,0,15.95,IDLE,0,FAR,0,3,0,0
1265,1775851975.219,2160,609,45,12,0,16.5,IDLE,0,FAR,0,3,0,0
1266,1775851975.235,2160,626,45,13,0,17.05,IDLE,0,FAR,0,3,0,0
1267,1775851975.251,2158,643,44,13,-2,17.6,IDLE,0,FAR,0,3,0,0
1268,1775851975.268,2156,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1269,1775851975.284,2154,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1270,1775851975.3,2152,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1271,1775851975.317,2150,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1272,1775851975.333,2148,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1273,1775851975.35,2146,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1274,1775851975.366,2144,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1275,1775851975.382,2142,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1276,1775851975.398,2140,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1277,1775851975.414,2138,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1278,1775851975.431,2136,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1279,1775851975.446,2134,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1280,1775851975.462,2132,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1281,1775851975.479,2130,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1282,1775851975.494,2128,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1283,1775851975.51,2126,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1284,1775851975.527,2124,656,44,13,-2,0,IDLE,1,FAR,0,3,0,0
1285,1775851975.544,2122,656,44,13,-2,0.55,IDLE,0,FAR,0,3,0,0
1286,1775851975.559,2122,657,44,13,0,1.1,IDLE,0,FAR,0,3,0,0
1287,1775851975.576,2122,658,44,13,0,1.65,IDLE,0,FAR,0,3,0,0
1288,1775851975.591,2122,660,44,13,0,2.2,IDLE,0,FAR,0,3,0,0
1289,1775851975.608,2122,662,44,13,0,2.75,IDLE,0,FAR,0,3,0,0
1290,1775851975.625,2122,665,44,13,0,3.3,IDLE,0,FAR,0,3,0,0
1291,1775851975.64,2122,668,44,13,0,3.85,IDLE,0,FAR,0,3,0,0
1292,1775851975.656,2122,672,44,14,0,4.4,IDLE,0,FAR,0,3,0,0
